District,School Name,UDISE Code,School Management,School Category,Notification Uploaded,Trees Planted,Tree Uploaded
GHAZIABAD,M M G PUBLIC H.S SCHOOL POSANDA GZB,09090904828,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,50,Yes
GHAZIABAD,M M H BOY INTER COLLEGE,09090900318,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,M P S PUBLIC SCHOOL JAGRITI VIHAR,09090901314,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,M.L. PUBLIC SCHOOL,09090901307,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,M.M.H.  BALIKA  INTER  COLLEGE,09090904705,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,6,Yes
GHAZIABAD,MAHA RISHI DAYA NANAD HR SEC SCH SADIK NAGAR,09090904608,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,0,No
GHAZIABAD,MAHARSHI DAYANAND SANSKRIT GURUKUL MAHAVIDYALAYA,09090905216,Government Aided,Upper Primary to Higher Secondary (6–12),No,4,Yes
GHAZIABAD,MAHARSHI DAYANAND VIDYAPEETH INTER COLLEGE,09090901711,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,MAHIMA PUB. JR.H. SCHOOL,09090901805,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,MANOHARI VIDYA MANDIR HIG SEC SCH GHAZIABAD,09090900114,Government Aided,Secondary only (9–10),Yes,34,Yes
GHAZIABAD,MILTON ACADEMY JR. HIGH SCHOOL KARHERA MOHANNAGAR,09090903412,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,MODERN ACADEMY,09090902615,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,MODERN SCHOOL,09090900925,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,MODERN SCHOOL VAISHALI,09090907211,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,119,Yes
GHAZIABAD,MOTHER INDIA PUBLIC SCHOOL,09090900309,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,MOUNT LITERA ZEE SCHOOL,09090904411,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,NAGAR NIGAM BAILIKA INTER COLLEGE SIHANI,09090904834,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,83,Yes
GHAZIABAD,NAGAR NIGAM BALIKA HIGH SCH  MAHRULI,09090202903,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,57,Yes
GHAZIABAD,NAGAR NIGAM BALIKA HIGH SCH KAILA BHATTA,09090905802,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,NAGAR NIGAM BALIKA HIGH SCH SAHIBA BAD,09090902609,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,30,Yes
GHAZIABAD,NAGAR NIGAM BALIKA INTER COLLEGE MAKANPUR GHAZIABAD,09090904831,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,98,Yes
GHAZIABAD,NAGAR PALIKA GIRLS INTER COLLEGE,09090900412,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,95,Yes
GHAZIABAD,NARAYNA E TECHNO SCHOOL RAJNAGAR EXTENTION,09090900333,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,NATINOL INTER COLL GATANA,09090901710,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
GHAZIABAD,NAVYUG VIDYAPITH INTER COLLEGE,09090904902,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,3,Yes
GHAZIABAD,NEHRU WORLD SCHOOL ,09090905805,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,NEW ERA SCHOOL GHAZIABAD,09090902607,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,NEW RAINBOW PUB. SCHOOL,09090905405,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,46,Yes
GHAZIABAD,NISCORT FR AGNEL SCHOOL,09090907212,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,NUTAN VIDYA MANDIR,09090902018,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,19,Yes
GHAZIABAD,National Public School,09090908012,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,P C INSTITUTE NANDGRAM,09090900228,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,P C SCHOOL GOVINDPURAM,09090906210,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,66,Yes
GHAZIABAD,PADAMSHREE N N MOHAN PUBLIC SCHOOL,09090901411,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,1,Yes
GHAZIABAD,PARAM HANS PUBLIC SCHOOL,09090907101,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,PARDHAN RAIFAL SINGH HR SEC,09090904832,Private Unaided Recognized,Secondary only (9–10),Yes,16,Yes
GHAZIABAD,"PAREVARTAN SCHOOL, Rajnagar Extn",09090904707,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,23,Yes
GHAZIABAD,POLICE MODERN SCHOOL,09090203102,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,17,Yes
GHAZIABAD,POLICE MODERN SCHOOL,09090907602,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,2,Yes
GHAZIABAD,PRESIDIUM INDIRAPURAM,09090907904,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,PRESIDIUM RAJNAGAR,09090900428,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,PROGRESSIVE HR SECSCHOOL,09090901908,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,0,No
GHAZIABAD,Platinum Valley International School,09090907803,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,159,Yes
GHAZIABAD,R N singh higher sec school,09090906617,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
GHAZIABAD,RADHA KRISHNA PUBLIC SCHOOL,09090901014,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,26,Yes
GHAZIABAD,RAJKIYA  INTER  COLLEGE NAND GRAM,09090900315,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,45,Yes
GHAZIABAD,RALLI INTERNATIONAL SCHOOL,09090907903,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,RAM KISHAN INSTITUTE,09090907102,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,54,Yes
GHAZIABAD,RAM RAJ HIGH SCHOOL,09094104710,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
GHAZIABAD,RANA PRATAP JR.H. SCHOOL,09090902317,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,0,No
GHAZIABAD,ROSE BELL PUBLIC SCH,09090904830,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,34,Yes
GHAZIABAD,RYAN INTERNATIONAL SCHOOL,09090201519,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,16,Yes
GHAZIABAD,S B N PUBLIK SCH,09090904011,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,S G PUBLIC SCHOOL,09090907404,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,S N MODERN SCHOOL,09090904108,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,1,Yes
GHAZIABAD,S.S.K. PUBLIC SCHOOL,09090906606,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,2,Yes
GHAZIABAD,SANSKAR PUBLIC SCHOOL,09090903809,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,SANSKAR THE CO- EDUCATIONAL SCHOOL,09090901910,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SANSKAR WORLD SCHOOL,09090203303,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,1,Yes
GHAZIABAD,SAPPHIRE INTERNATIONAL SCHOOL,09090900235,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SARSWATI SHIKSHA NIKETAN INTER COLLEGE,09090904826,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
GHAZIABAD,SARVODAY INTER COLL BIHARI PURA,09090904829,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,1,Yes
GHAZIABAD,SCHOLARS INTERNATIONAL SCHOOL,09090900616,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,37,Yes
GHAZIABAD,SETH  MUKUND  LAL  INTER  COLLEGE,09090900409,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,SETH ANANDRAM JAIPURIA SCHOOL,09090905017,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,SHAMBHU DAYAL INTER COLLEGE,09090900316,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,SHERON JR. HIGH SCHOOL,09090902311,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,0,No
GHAZIABAD,SHREE THAKURDWARA BALIKA VIDYALAYA,09090901409,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
GHAZIABAD,SHRI GURU NANAK KANYA INTER COLLEGE,09090900120,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,95,Yes
GHAZIABAD,SHRI GURU RAM RAI PUBLIC SCHOOL,09090901717,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SHRI LAL CHAND SHARMA SEC SCHOOL SAHIBABAD,09090900116,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,194,Yes
GHAZIABAD,SHRI SANATAN DHAM INTER COLLEGE,09090900414,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,70,Yes
GHAZIABAD,SHRI SARASWATI VIDYA MANDIR HIG SEC SCH SIHANI,09090900118,Government Aided,Secondary only (9–10),Yes,0,No
GHAZIABAD,SIBBAN SINGH TYAGI HIGHER SEC SCHOOL,09090900715,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,19,Yes
GHAZIABAD,SIDARTH H S SCHOOL ARTAHLA,09090104015,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,16,Yes
GHAZIABAD,SIDDHARTHA HIGH SCHOOL JATWARA GZB,09090903604,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,82,Yes
GHAZIABAD,SILVER LINE PRESTIGE SCHOOL,09090902016,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,100,Yes
GHAZIABAD,SILVER SHINE PUBLIC SCHOOL,09090903802,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,SRI KRISHN INTER COLL VIJAY NAGAR. SCHOOL,09090905904,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SSC GLOBAL SCHOOL,09090904838,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ST ANDREWS PUBLIC SCHOOL,09090900425,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ST FRANCIS SCHOOL INDIRAPURAM,09090907908,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,1,Yes
GHAZIABAD,ST MARY'S CHRISTIAN SCHOOL,09090908014,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,150,Yes
GHAZIABAD,ST MARYS SCHOOL,09090906403,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,12,Yes
GHAZIABAD,ST PAUL ACADEMY SEC 9 NEW RAJNAGAR,09090908015,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ST TERESA S CONVENT SCHOOL SARVODAY NAGAR,09090900536,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,0,No
GHAZIABAD,ST THOMAS SCHOOL,09090903817,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,26,Yes
GHAZIABAD,ST XAVIER'S WORLD SCHOOL MORTA,09090901414,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,"ST. JOSEPH ACADEMY, MARIAM NAGAR ",09090900429,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ST. MARY'S CONVENT SCHOOL,09090905803,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,1,Yes
GHAZIABAD,ST. PAUL'S HIGH SCHOOL,09090902807,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,0,No
GHAZIABAD,ST. XAVIER HIGH SCHOOL,09094100079,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,SUN BEAM PUBLIC SCHOOL,09090903306,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,0,No
GHAZIABAD,SUN VALLEY INTERNATIONAL SCHOOL,09090907209,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SUREVIN INTERNATIONAL,09090900533,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,SUSHILA INTER COLLEGE,09090900317,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,357,Yes
GHAZIABAD,SUSHILA MODEL SCHOOL,09090903409,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,SWAMI VIVEKANAND SARASWATI VIDYA MANDIR SAHIBABAD,09090901507,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,1,Yes
GHAZIABAD,Sant Dayanand High School,09090900924,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,Schiller Institute Senior Secondary School,09090905302,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,Shaheed Memorial Vidya Kendra,09090902910,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,Shambhu Dayal Global School,09090906202,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,28,Yes
GHAZIABAD,"Shiksha International School, Modinagar",09090903411,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,St Teresa School Indrapuram,09090903819,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,92,Yes
GHAZIABAD,Step up school,09090901911,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,1,Yes
GHAZIABAD,THE MODERN SCHOOL,09090900223,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,UTTAM SCHOOL FOR GIRLS,09090203004,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,VIDHAN PUBLIC SCHOOL,09090203405,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,VIDYA BAL BHAWAN PUBLIC SCHOOL VASUNDHRA,09090901418,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,VISHVA BHARTI PUBLIC SCHOOL ,09090900618,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,7,Yes
GHAZIABAD,VIVEKANAND SHISHU MANDIR MAINROAD,09090900723,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,Vanasthali Public School,09090901412,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,modern national public school,09090904835,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ADARSH GYAN SAROVER PUBLIC SCHOOL,09090100130,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,ADARSH NAVJEEVAN INTER COLLEGE,09090108101,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
GHAZIABAD,ADARSH VIDYA MANDIR GIRLS INTER COLLEGE,09090108501,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
GHAZIABAD,ADARSH YAMUNA INTER COLL PACHURA,09090101404,Private Unaided Recognized,Secondary only (9–10),No,21,Yes
GHAZIABAD,AKASH PUNJ ADARSH GIRLS HR. SEC. SCHOOL,09090105807,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
GHAZIABAD,"ANAMIKA GIRL,S INTER COLL LONI",09090101407,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
GHAZIABAD,ANAND MEMORIAL INTER COLLEGE,00909010526,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,1,Yes
GHAZIABAD,B RS CONVENT GIRLS H SEC SCHOOL,09090104023,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
GHAZIABAD,B.L. MEMO. HR. SEC. SCHOOL,00909010524,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
GHAZIABAD,B.S.BHATI MEMO. JR.H. SCHOOL,00909010522,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,BAL BHARTI PUBLIC SCHOOL LONI,09090100213,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,66,Yes
GHAZIABAD,BAL BHARTI VIDYA MANDIR HIGHER SEC SCHOOL,09094104139,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,BAL VIDYA MANDIR SANGAM VIHAR LONI,09090103902,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,BANSRAJ MODEL SCHOOL,09090100307,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,BEERBAL SINGH JR.H. SCHOOL,09090102221,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,BEHTA INTER COLL BEHTA HAZIPUR,09090101302,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,2,Yes
GHAZIABAD,BHULE RAM ISHMARAK INTER COLL DHARAI PUR,09090104035,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
GHAZIABAD,C C S VIDYA MANDIR LONI,09090101406,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,CH. PRAKASH CHAND SENIOR SEC SCH,09090105304,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,17,Yes
GHAZIABAD,CHAMELI DEVI PUB. SCHOOL,09090102227,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,CHAUDHRI BUDH SINGH INTER COLL,09090104031,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
GHAZIABAD,CHETNA CONVENT JUNIOR HIGH SCHOOL,00909010525,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,6,Yes
GHAZIABAD,CHETNA CONVENT JUNIOR HIGH SCHOOL,00909010525,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,6,Yes
GHAZIABAD,CRS SEC SECANDRY SCH,09090104014,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,D K MODERN GIRLS HSC,09090100122,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,76,Yes
GHAZIABAD,D.P. MODERN PUBLIC SCHOOL,00909010521,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,8,Yes
GHAZIABAD,D.P. MODERN PUBLIC SCHOOL,00909010521,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,8,Yes
GHAZIABAD,DAS UNIVERSAL ACADEMY,09090100702,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,20,Yes
GHAZIABAD,DELHI PUBLIC SCHOOL SAHIBABAD,09090106817,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,12,Yes
GHAZIABAD,DELHI PUBLIC WORLD SCHOOL,09090100511,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,DEV SIKSHA NIKETAN HIGH SCHOOL,09090107801,Private Unaided Recognized,Secondary only (9–10),Yes,0,No
GHAZIABAD,DIAMOND ROSE PUBLIC SCHOOL,09090100514,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,DIVY GYAN SINDHU INTER COLL,09090104025,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
GHAZIABAD,DIVYA BHARTI HIGH SCHOOL,09090107901,Private Unaided Recognized,Secondary only (9–10),No,0,No
GHAZIABAD,G C PUBLIC HIGH SCHOOL,09090104018,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
GHAZIABAD,G S MODERN SCHOOL KHORA LONI,09090102270,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,4,Yes
GHAZIABAD,G.S. HIGHER SECONDARY SCHOOL,09090100114,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,GANGA INTER COLLEGE NAIPURA,09090104027,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
GHAZIABAD,GLOBAL NAVJEEVAN SCHOOL ,09094100047,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,GOLDI  MODERN PUB. JR.H. SCHOOL,00909010525,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,6,Yes
GHAZIABAD,GOLDI  MODERN PUB. JR.H. SCHOOL,00909010525,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,6,Yes
GHAZIABAD,GREEN FILDE H SEC SCH,09090104020,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
GHAZIABAD,GYAN INTER COLLEGE BAGRANAP,09090104902,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,H M INTER COLLEGE,09090105223,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
GHAZIABAD,HARI OM PUBLIC SCHOOL,09090100202,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,18,Yes
GHAZIABAD,HARI SINGH HIGH SCH,09090102259,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,15,Yes
GHAZIABAD,HINDON PUBLIC SCHOOL,09090101007,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,HOLY CHILD ACADEMY,09090106511,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,HOLY MOTHER'S INTER COLLEGE ,09094100048,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,INDIN NATINOL INTER COLL KHODA CLONI,09090102258,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
GHAZIABAD,INDRA BAL VIDYA MANDIR  J.H. SCHOOL,00909010526,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,1,Yes
GHAZIABAD,J D PUBLIC SCHOOL SANTOSHI VIHAR LONI GHAZIABAD,09090106707,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,J K INTERNATIONAL PUBLIC SCHOOL,09090100318,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,J R GLOBAL INTERNATIONAL GARHI SABLOO,09090105305,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,JANTA  INTER  COLLEGE,09090100305,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,112,Yes
GHAZIABAD,JEEWAN JYOTI INTER COLLEGE,09090107701,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
GHAZIABAD,JP GIRLS INTER COLLEGE,09090105303,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
GHAZIABAD,JR INTERNATIONAL HIGHER SEC SCHOOL,09090108401,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,0,No
GHAZIABAD,JSM PUBLIC SCHOOL,09090102106,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,KAMLES RANA H S SCHOOL SHIBABAD,09090104017,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,KISAN RASHTRIYA INTER COLLEGE,09090100115,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,109,Yes
GHAZIABAD,L R  PUBLIC H SEC SCHOOL,09090104028,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
GHAZIABAD,L.G. PUBLIC  SCHOOL,00909010524,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,LATERADHE LAL MEMO GIRL INTERCOLL MANDOLA,09090104036,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,22,Yes
GHAZIABAD,LITTLE STAR PUBLIC SCHOOL,09090107306,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,LONI INTER COLLEGE,09090105247,Government Aided,Upper Primary to Higher Secondary (6–12),No,12,Yes
GHAZIABAD,LORD KRISHNA CONVENT SCHOOL,00909010526,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,1,Yes
GHAZIABAD,MAHARANA PRATAP PUBLIC SCHOOL,09090102271,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,36,Yes
GHAZIABAD,MAZOR BABU KHAN HIGHER SEC SCHOOL,09090107501,Private Unaided Recognized,Secondary only (9–10),No,0,No
GHAZIABAD,MINTA INTERNATIONAL SCHOOL KHODA LONI,09094104155,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
GHAZIABAD,MODEL BALIKA INTER COLLEGE,09090107449,Department of Education (Government School),Upper Primary + Secondary (6–10),Yes,111,Yes
GHAZIABAD,MODEL INTER COLLEGE MUSTAFABAD LONI,09090107407,Department of Education (Government School),Upper Primary + Secondary (6–10),Yes,39,Yes
GHAZIABAD,MOON STAR SUVEB JUBLI HR  SEC SCHOOL,09090104042,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,6,Yes
GHAZIABAD,N M H-SEC SCHOOL,09090106207,Private Unaided Recognized,Secondary only (9–10),Yes,0,No
GHAZIABAD,NAV CHETANYA HIGHER SEC SCHOOL,09090108301,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
GHAZIABAD,NAV CHETNA BALIKA HIGH SCHCHIRAURI,09090100105,Private Unaided Recognized,Secondary only (9–10),No,0,No
GHAZIABAD,NAV VIKAS INTER COLLEGE,09090107401,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,NAVJEEVAN ADARSH PUBLIC CSHOOL,09094100060,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,11,Yes
GHAZIABAD,NAVJEEVAN MODEL SCHOOL DLF LONI,09090100317,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,4,Yes
GHAZIABAD,NAVJEEWAN INTER COLLEGE,09090102105,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,1,Yes
GHAZIABAD,NEW ADARSH PUBLIC TEELA SHAHBAJPUR,09090106819,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,NEW B R HR SECSCHOOL,09090104039,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
GHAZIABAD,NEW VIKAS SCHOOL,09090105218,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
GHAZIABAD,NIKITA INTER COLL,09090104022,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
