District,School Name,UDISE Code,School Management,School Category,Notification Uploaded,Trees Planted,Tree Uploaded
AGRA,SMT KASTURI NEMVATI DEVI UMV NAGLA GARHIMA ACHCHNERA AGRA,09154104328,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SMT KIRAN DEVI HSS KACHORA AGRA,09154104323,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SMT LILAWATI INTER COLLEGE MAI ACHHNERA AGRA,09150204303,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SMT MAYA DEVI INTER COLLEGE MANGURA AGRA,09150204104,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SMT.GANGA DEVI PUB.P.SCH.BASTAI,09150204603,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SMT.RAM DULARI INTER COLLEGE MANGURA,09150203112,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SMT.SHANTI DEVI V.M.J.H.S.PURA,09150202003,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SRI TEJ SINGH VERMA INTER COLLEGE NAGLA MANSHA KIRAWALI AGRA,09150202203,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,ST. PETER'S SCHOOL RAIBHA KIRAOLI AGRA,09150202205,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,SURAJ GOVIND SENIOR SECONDARY SCHOOL NH 2 KEETHAM AGRA,09150206505,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,Shri Ram International School Panwari Sikandra Agra Uttar Pradesh 282007,09150206107,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,Sun Lord Public School Lohkarera Runakata Agra,09150206006,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,THAKUR SHER SINGH J.H.S.KUKTHALA,09150205003,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,ARYABHATTA EDUCATIONAL ACADEMY NAU MEEL CHAURAHA GAMRI MALPURA JAGNER ROAD AGRA,09150102006,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,ASHARFI DEVI CHHIDDU SINGH INTER COLLGE AGRA,09150102003,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,B M UPADHYAY UM VIDAYALAYA GAMARI AKOLA AGRA,09150102005,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,B S INTER COLLEGE JARUA KATRA AGRA,09150100106,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,C.W.INTER COLLEGE AKOLA,09150100703,Government Aided,Upper Primary to Higher Secondary (6–12),No,3,Yes
AGRA,CH.BADAN SINGH P.V.IKRAMNAGAR,09150105403,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,DEVI RAM SARVODAYA UM VIDAYALYA ZINDPURA AKOLA AGRA,09150106202,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,DR. B.R.A.S. INTER COLLEGE,09150101920,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,DURGA DEVI V.PEETH J.H.S.DHANAULI,09150101916,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,GANDHI SMARAK INTER COL.JAINGA,09150105604,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,GITA PRAYAG H .S SCHOOL,09150100108,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,GOVT.HIGH SCHOOL BALHERA AKOLA,09150101804,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,100,Yes
AGRA,GYAN  SINGH   INTER COLLEGE,09150100112,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
AGRA,GYAN DEEP UMV LADHAM MANKEDA AGRA,09150100903,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,HEERA RATAN UMV KARAHARA AGRA,09150103804,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,HERITAGE GLOBAL SCHOOL,09150103504,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,ISWAR CHAND VIDYA SAGAR P. SCH,09150102210,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,JAI GIRRAJ INTER COLLEGE AKHWAI AGRA,09150102704,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,JAWAHAR INTER COLL.SHITAL KUND,09150105002,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,LAXMI INTER COLLEGE KARHARA AGRA,09150103803,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,M S GIRLS HIGHER SECONDARY SCHOOL GAMARI MALPURA AGRA,09150102004,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,MAHARANI AHILYABAI UMV MULLA KI PYAU AGRA,09150101922,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,MAHARANI AVANTIBAI GIRLS INTER COOLEGE NAGLA NANDA DHANAULI AGRA,09150101923,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,MAHRSHI  PARASHURAM  INTER COLLEGE BYEPASS ROAD MALPURA,09150102215,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,MOTHER R D Sr Sec SCHOOL NEW AWADI DHANAULI AGRA,09150101932,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,"NATTHILAL H.S.S., DHANAULI",09150101929,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,Omvati devi h s school nagala mridangi Baseri chahar Jaingara Agra,09150105103,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,PATURA DEVI INTER COLLEGE GARHI NANDU AGRA,09150107601,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,PT. DEENDAYAL UPADHYAY GOVT. MODEL I.C MANKAIDA,09150101103,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,131,Yes
AGRA,S.R.D. PUBLIC SCHOOL AKOLA AGRA,09150100709,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SAINTA CLAZ INTER COLLEGE,09150101918,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,SETH GANGARAM INTER COLLEGE AKHABAI AKOLA AGRA,09150102702,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SG PUBLIC SCHOOL,09150100716,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,SHIV VIDHYA MANDIR UMV AKOLA AGRA,09150100706,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,SHRI BACHCHU SINGH INTER COLLEGE ABHYPURA MALPURA AGRA,09150102217,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI DURG SINGH CHAHAR HSS BAIMAN AKOLA AGRA,09150105205,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SHRI GANDH HIGHER SECONDARY SCHOOL,09150102214,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
AGRA,SHRI GYASI RAM INTER COLLEGE DAYAL NAGAR DHANAULI,09150101930,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SHRI JAI DEV SINGH MEMORIAL INTER COLLEGE SONIGA BAHA KHERAGARH AGRA,09151203011,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
AGRA,SHRI RAM BABU INTER COLLEGE,09150101919,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
AGRA,SHRI SANT J P INTER COLLEGE RAMNAGAR AKOLA AGRA,09150101604,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SHYAM DURGA UM VIDYALAYA MANIYA,09150100713,Private Unaided Recognized,Secondary only (9–10),No,0,No
AGRA,SMT NARAYANI KANYA INTER COLLEGE JARUA KATRA AGRA,09150100109,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SMT SAVITRI DEVI U.M VIDYALAYA RAM NAGAR,09150101605,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SMT SHANTI DEVI GIC NAUWAMEEL TANTPUR AGRA,09150100718,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
AGRA,SMT SRIDEVI AWASIYA VIDYAPEETH,09150105303,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,SMT.MAHADEVI P.S.NAGLA JHABBA,09150104802,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
AGRA,"SRI PARAS PUBLIC HIGH SCHOOL, DHANAULI",09150101928,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
AGRA,SRI TULA RAM INTER SCH MALPURA,09150102211,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,2,Yes
AGRA,SUN SHINE SCHOOL AGRA,09150101104,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,0,No
AGRA,SWAMI VIVEKANAND INTER COLLEGE,09150100711,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
