#,School Name,District,Block Name,UDISE ID
108214,UPS BARUA PATTI SANAYAK,SHAHJAHANPUR,MADNAPUR,9221702502
108215,UPS BARUAGHAT,UNNAO,FATEHPUR 84,9260303002
108216,UPS BARUKULASAR COMPOSIT,AURAIYA,BIDHUNA,9320505002
108217,UPS BARUWA,RAE BARELI,SATAON,9280906802
108218,UPS BARWAR COMPOSIT (1 TO 8),KHERI,PASGAWAN,9231403702
108219,UPS BAS CHHINTA,ALIGARH,GONDA,9121108702
108220,UPS BAS SUDAMA,ALIGARH,GONDA,9121108802
108221,UPS BASAE,BAREILLY,SHERGARH,9200908303
108222,UPS BASAGAWA,CHANDAULI,DHANAPUR,9660505802
108223,UPS BASAHI,PRAYAGRAJ,KARCHHANA,9451808303
108224,UPS BASAI,FIROZABAD,TUNDLA,9160302204
108225,UPS BASAI,ALIGARH,KHAIR,9120806702
108226,UPS BASAI,KASGANJ,SIDHPURA,9721405702
108227,UPS BASAI ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,ATRAULI,9120311302
108228,UPS BASAI (1 TO 8 COMPOSITE SCHOOL),ALIGARH,GONDA,9121102803
108229,UPS BASAIGAPUR COMPOSIT(1 TO 8),KHERI,NAKAHA,9231006502
108230,UPS BASANTAPUR COMPOSIT (1to8),SITAPUR,BEHTA,9240206502
108231,UPS BASANTAPUR KALAN COMPOSITE (1 TO 8),KHERI,PALIYA,9231100502
108232,UPS BASANTIPUR COMPOSIT (1 TO 8),KHERI,PHOOL BEHAR,9231204902
108233,UPS BASANTIPUR COMPOSITE(1 to 8),SITAPUR,LAHARPUR,9240802102
108234,UPS BASANTPUR,VARANASI,PINDRA,9670804703
108235,UPS BASANTPUR,BAREILLY,MAJHGAWAN,9201011001
108236,UPS BASARAHI,BANDA,NARAINI,9400405914
108237,UPS BASAURA,KANPUR NAGAR,GHATAMPUR,9340906202
108238,UPS BASEHWA,ALIGARH,IGLAS,9121207201
108239,UPS BASENDUA,BULANDSHAHR,BULANDSHAHR,9110102703
108240,UPS BASERA (1 to 8 Composite School),ALIGARH,TAPPAL,9120908002
108241,UPS BASGAVAN,ETAWAH,BASREHAR,9310310502
108242,UPS BASHI COMPOSIT (1 TO 8),KHERI,PALIYA,9231106802
108243,UPS BASHTODA (1 TO 8 COMPOSITE SCHOOL),ALIGARH,GONDA,9121108102
108244,UPS BASILA,CHANDAULI,SAKALDIHA,9660401001
108245,UPS BASIYAJOT COMPOSITE,SANT KABIR NAGAR,NATHNAGAR,9562018802
108246,UPS BASKHEDA COMPOSIT 1 TO 8,KHERI,MOHAMMADI,9230705302
108247,UPS BASLIPUR GRANT COMPOSIT(01 To 08),KHERI,BIJUA,9230110002
108248,UPS BASOLLI,ALIGARH,GONDA,9121103402
108249,UPS BASREHI (COMPOSITE),JALAUN,KADAURA,9350303302
108250,UPS BASTAULI COMPOSIT (1 To 8),KHERI,BIJUA,9230102602
108251,UPS BASTI,MAU,FATEHPUR MANDAON,9620800303
108252,UPS BASTI (COMPOSITE),JALAUN,KONCH,9350403002
108253,UPS BASUPUR,PRATAPGARH,LAXMANPUR,9430904703
108254,UPS BASUPURA,BAREILLY,RICHHA(DAMKHODA),9200500505
108255,UPS BASVARIYA MANIAR,BALLIA,MANIAR,9630705802
