District,School,Block,UDISE ID,Saplings
AGRA,SMT.DROPADI DEVI BAL V.MAND. AKBARA,ACCHNERA,09150206203,1
AGRA,J.H.S. NAGLA SADLE (COMPOSITE),ACCHNERA,09150206302,5
AGRA,P.S MANGROL GUJAR,ACCHNERA,09150206401,28
AGRA,J.H.S.MANGROL GUJAR,ACCHNERA,09150206402,30
AGRA,P.S KEETHAM,ACCHNERA,09150206501,23
AGRA,J.H.S.KEETHAM,ACCHNERA,09150206503,22
AGRA,P.S ARSENA,ACCHNERA,09150206601,2
AGRA,J.H.S.ARSENA,ACCHNERA,09150206602,8
AGRA,P.S SINGNA,ACCHNERA,09150206701,8
AGRA,J.H.S.SINGNA,ACCHNERA,09150206702,4
AGRA,J.H.S JUGSENA (COMPOSITE),ACCHNERA,09150206703,8
AGRA,P.S BYARA--1,ACCHNERA,09150206901,26
AGRA,J.H.S.BYARA,ACCHNERA,09150206903,25
AGRA,P.S HASELA,ACCHNERA,09150207001,8
AGRA,J.H.S.HASELA,ACCHNERA,09150207002,4
AGRA,P.P.NAGLA POORNA,ACCHNERA,09150207101,1
AGRA,P.P.BARAULI,ACCHNERA,09150207201,7
AGRA,P.P.NAGLA LAXMANA,ACCHNERA,09150207301,1
AGRA,GOVT. GIRLS INTER COLLEGE GARHICHANDMAN ACHHNERA AGRA,ACCHNERA,09150207401,89
AGRA,P.P.GARHI CHANDRAMAN,ACCHNERA,09150207402,1
AGRA,P.P.JAKHA,ACCHNERA,09150207501,2
AGRA,P.P.BADI PATI (MANGROL GUJAR),ACCHNERA,09150207801,7
AGRA,J.H.S BADI PATI,ACCHNERA,09150207802,27
AGRA,P.P.CHAUMA FARAH,ACCHNERA,09150208001,13
AGRA,J.H.S CHAUMA FARAH,ACCHNERA,09150208002,16
AGRA,P.P.KHUSHIYALI,ACCHNERA,09150208301,8
AGRA,P.P.TRIPURI,ACCHNERA,09150208401,21
AGRA,P.P.NAGLA JAHRIYA,ACCHNERA,09150208501,5
AGRA,P.P.NAGLA SAPERA,ACCHNERA,09150208601,3
AGRA,P.P.NAGLA BHUPLA,ACCHNERA,09150208701,11
AGRA,J.H.S BHAVANPURA (COMPOSITE),ACCHNERA,09150208802,10
AGRA,P.P.NAGLA MANSA,ACCHNERA,09150208901,12
AGRA,P.P NAGLA KACHORA,ACCHNERA,09150209001,1
AGRA,P.P SAMASPUR,ACCHNERA,09150209101,20
AGRA,P.P NAGLA DARUA,ACCHNERA,09150209401,2
AGRA,P.P NAGLA TODU,ACCHNERA,09150209501,3
AGRA,P.P NAGLA SALIGA,ACCHNERA,09150209601,11
AGRA,P.P NAGLA YADRAM,ACCHNERA,09150209701,12
AGRA,P.P SIGNA BURJ,ACCHNERA,09150209801,8
AGRA,P.P CHOTI PATI,ACCHNERA,09150209901,3
AGRA,J.H.S.JARAR (COMPOSITE),BAH,09150300203,7
AGRA,J.H.S.DERAK (COMPOSITE),BAH,09150300303,1
AGRA,J.H.S.PRATAP PURA,BAH,09150300304,3
AGRA,P.S PRATAPPURA,BAH,09150300401,1
AGRA,J.H.S.VIRASANGPURA (COMPOSITE),BAH,09150300502,1
AGRA,P.S TARASO,BAH,09150300601,2
AGRA,J.H.S.TARASO,BAH,09150300602,1
AGRA,P.S MUDIAPURA,BAH,09150300701,1
AGRA,P.S PARWATIPURA,BAH,09150300801,1
AGRA,P.S NARHOLI,BAH,09150300901,3
AGRA,J.H.S.NARHOLI,BAH,09150300903,3
AGRA,J.H.S.PURA NARHOLI (COMPOSITE),BAH,09150301002,2
AGRA,P.S BHAUPURA,BAH,09150301101,2
AGRA,G.J.H.S.BAH (COMPOSITE),BAH,09150301211,4
