#,School Name,District,Block Name,School Type,UDISE ID
34440,P S GURGURI (C),KASGANJ,SORON,N/A,9721505101
34441,P S GURHANA,KASGANJ,SORON,N/A,9721504001
34442,P S GURIYAI,KANSHIRAM NAGAR,PATIYALI,N/A,9721001101
34443,P S GURUMHA,MAU,FATEHPUR MANDAON,N/A,9620800601
34444,P S GURWA,BALLIA,CHILKAHAR,N/A,9630408001
34445,P S GUVAWAN JAMALPUR,AMBEDKAR NAGAR,JALALPUR,N/A,9480600601
34446,P S GUWANO,AMBEDKAR NAGAR,TANDA,N/A,9480901301
34447,P S GVALIYARA,ETAH,JALESAR,N/A,9170600601
34448,P S GYANPUR,AMBEDKAR NAGAR,AKBARPUR,N/A,9480116101
34449,P S GYANPUR 2,BHADOI,GYANPUR,N/A,9710221515
34450,P S GYASPUR,PRATAPGARH,KUNDA,N/A,9430701601
34451,P S HAALPUR NO.1,BALLIA,BANSDEEH,N/A,9630900601
34452,P S HAALPUR NO.2,BALLIA,BANSDEEH,N/A,9630900602
34453,P S HADA BASAHRI-II,BAHRAICH,BALHA,N/A,9501011002
34454,P S HADAHUNWA,MAU,BADRAW,N/A,9620701701
34455,P S HADAULIYA,BAREILLY,KYARA,N/A,9200800901
34456,P S HADHI,BAHRAICH,BALHA,N/A,9501001501
34457,P S HADHI,BASTI,HARRIYA,N/A,9551312601
34458,P S HADHI NADOLWA,DEORIA,BAITALPUR,N/A,9600210401
34459,P S HADHIBARI,BHADOI,BHADOHI,N/A,9710124201
34460,P S HADIDAD PUR,ETAH,AWAGARH,N/A,9170308301
34461,P S HADIRAHI,PRATAPGARH,LAXMANPUR,N/A,9430901304
34462,P S HAFIJPUR,MAU,RANIPUR,N/A,9620608501
34463,P S HAFIZGANJ,BAREILLY,RICHHA(DAMKHODA),N/A,9200507601
34464,P S HAFIZGANJ,BAREILLY,MAJHGAWAN,N/A,9201001501
34465,P S HAFIZPUR LANGARI,AMBEDKAR NAGAR,RAMNAGAR,N/A,9480804001
34466,P S HAFTA,BALLIA,NAGARA,N/A,9630212702
34467,P S HAIBATPUR,BALLIA,HANUMANGANJ,N/A,9631306101
34468,P S HAIDARPUR,ETAH,SAKEET,N/A,9171209901
34469,P S HAIDARPUR NAUBASTA,BAHRAICH,KAISER GANJ,N/A,9500208801
34470,P S HAIDER CHAK,BALLIA,HANUMANGANJ,N/A,9631301501
34471,P S HAIDERGANJ,BAREILLY,MIRGANJ,N/A,9200208203
34472,P S HAISAWAPUR,AMBEDKAR NAGAR,BHIYAON,N/A,9480402701
34473,P S HAIVARIA,BAHRAICH,HUJUR PUR,N/A,9500600701
34474,P S HAIVATPUR,BAREILLY,KYARA,N/A,9200801101
34475,P S HAJAULI,BALLIA,CHILKAHAR,N/A,9630400401
34476,P S HAJIPATTI,MAU,BADRAW,N/A,9620706501
34477,P S HAJIPUR,GAUTAM BUDDHA NAGAR,VISRAKH,N/A,9100107601
34478,P S HAJIPUR,MAU,RANIPUR,N/A,9620608201
34479,P S HAJIPUR,ETAH,JAITHARA,N/A,9170504001
34480,P S HAJIPUR,KASGANJ,AMAPUR,N/A,9720207206
34481,P S HAJIPUR,GAUTAM BUDDHA NAGAR,DANKAUR,N/A,9100304501
34482,P S HAJJIPUR,AMBEDKAR NAGAR,JAHANGIRGANJ,N/A,9480713403
34483,P S HAKIM GANJ,KASGANJ,PATIYALI,N/A,9721003801
34484,P S HAKIM PURWA,BAHRAICH,BALHA,N/A,9501010902
34485,P S HAKIM PURWA,BAHRAICH,BALHA,N/A,9501007501
34486,P S HAKIMJOT,AMBEDKAR NAGAR,TANDA,N/A,9480916301
34487,P S HAKIMPUR,AMBEDKAR NAGAR,TANDA,N/A,9480906501
34488,P S HALAIYA,ETAH,JAITHARA,N/A,9170502601
34489,P S HALAMAI,PRATAPGARH,MANDHATA,N/A,9431011101
34490,P S HALDHARPUR - 2,MAU,RATANPURA,N/A,9620103502
34491,P S HALDI KALAN,BAREILLY,SHERGARH,N/A,9200908701
34492,P S HALDI NO.2,BALLIA,BELAHARI,N/A,9631500102
34493,P S HALDI RAMPUR NO.3,BALLIA,SEAR,N/A,9630109303
34494,P S HALIMABAD,MAU,RANIPUR,N/A,9620601601
34495,P S HALWAIYA CHAK,BASTI,VIKRAMJOT,N/A,9550900608
34496,P S HAMIDPATTI,BHADOI,AURAI,N/A,9710417401
34497,P S HAMIDPUR - 1,MAU,KOPAGANG,N/A,9620901701
34498,P S HAMIR PUR,ETAH,MARHARA,N/A,9170804801
34499,P S HAMIRPUR,KASGANJ,SIDHPURA,N/A,9721409501
34500,P S HAMJAPUR,AMBEDKAR NAGAR,KATEHARI,N/A,9480500103
34501,P S HANKARIPUR,MAU,FATEHPUR MANDAON,N/A,9620801502
34502,P S HANS PUR,KASGANJ,AMAPUR,N/A,9720207001
34503,P S HANSIYA DEVRI,BASTI,BANKATI,N/A,9550412201
34504,P S HANSULIA,BAHRAICH,MIHIN PURVA,N/A,9501100401
34505,P S HANSWAR,AMBEDKAR NAGAR,BASKHARI,N/A,9480204601
34506,P S HANUMANGANJ,BALLIA,BAIRIA,N/A,9631606401
34507,P S HANUMANPUR,PRATAPGARH,RAMPUR-SANGRAMGARH,N/A,9431606901
34508,P S HANUMANT KHERA,ETAWAH,JASWANT NAGAR,N/A,9310416101
34509,P S HARADIA(WEST),BALLIA,NAVANAGAR,N/A,9630501201
34510,P S HARAIYA,BAREILLY,BHADPURA,N/A,9200604317
34511,P S HARANIDEEH,AMBEDKAR NAGAR,BASKHARI,N/A,9480210901
34512,P S HARASAR,BALLIA,NAVANAGAR,N/A,9630504501
34513,P S HARAULA,GAUTAM BUDDHA NAGAR,VISRAKH,N/A,9100109201
34514,P S HARCHANDPUR,BAREILLY,BHADPURA,N/A,9200610501
34515,P S HARDASPUR,AMBEDKAR NAGAR,BASKHARI,N/A,9480206401
34516,P S HARDASPUR,BAREILLY,RAMNAGAR,N/A,9200104901
34517,P S HARDHAULI,MAU,BADRAW,N/A,9620705501
34518,P S HARDIHA JALAL,AMBEDKAR NAGAR,JAHANGIRGANJ,N/A,9480701901
34519,P S HARDOI,PRATAPGARH,MANGRAURA,N/A,9431110301
34520,P S HARDUA,BHADOI,ABHOLI,N/A,9710702901
34521,P S HARDUA,BAREILLY,KYARA,N/A,9200808501
34522,P S HAREHIPATTI,PRATAPGARH,AASPUR-DEOSARA,N/A,9430109001
34523,P S HARELA,BAREILLY,FARIDPUR,N/A,9201508601
34524,P S HARELI,BAREILLY,BHUTA,N/A,9200302101
34525,P S HARHARPUR BAHARUA,BAREILLY,BAHERI,N/A,9201401803
34526,P S HARHARPUR MATKALI,BAREILLY,NAWABGANJ,N/A,9200407401
34527,P S HARI KA PURA,PRATAPGARH,AASPUR-DEOSARA,N/A,9430109101
34528,P S HARI. BASTI PIYARIA,BALLIA,GARWAR,N/A,9631100803
34529,P S HARIHA KALA NAI BASTI,BALLIA,REVATI,N/A,9631000210
